,title,lable,score,link,time,count,comments
0,华为励志音乐短片《梦想成真》,广告,7.8,http://www.vmovier.com/50105?from=index_new_img,2016/9/27,530,音乐已经盖过视频的风头了，就前面看了10几秒画面。后面几乎没看内容 华为在广告这方面真的属于世界品牌的调调 国内标杆了 优质MV，非常好的画面质感 还是支持小米 好像只有我一个人看哭了…… 故事很简单，也很俗套，配上有点伤感的音乐，结局也是能想到的，可是当看到最后，祖父听着孙女的琴声安详的逝去的时候，还是忍不住流下的眼泪。这样的配乐就好像是女主角在用自己的歌声诉说着自己的经历一样，很有感染力。 剪辑什么的就不吐槽了，我只想说音乐让这部片子升华了。 剪辑真心烂 国际范，支持中国品牌，华为让中国制造变为中国创造 华为不是中国的品牌！ 有国际品牌的调调 梗老但是还是会感动到人 因为无论何时都有人心怀梦想 依旧会有共鸣 大小姑娘都好看 歌好听好听，mv原谅我看不下去，没什么亮点 再看一下链家的广告片 那是什么啊｀｀｀ 难道只有我觉得音乐和视频不搭吗 额...只有我一个人觉得剪得很乱嘛... 还行啊，我一个非专业人士表示，能看懂，也没觉得乱 虽然mv拍的不是非常感人，但还是被感到到了 跟俄罗斯的潘婷广告很像，但是歌很好听 弄得我泪眼朦胧的 同时很佩服任老，40有余才创立华为，这才28年，带领华为创造了一个又一个奇迹。（有关华为的事迹各位朋友可以到知乎里面去找，比较详细） 真挺感动的，不仅是视频中的故事，还因为视频中的故事和背景音乐也同时诠释了华为，这个中国最大的民营企业，也是改变世界对中国、中国人、中国制造的看法，华为让世界知道中国、中国人也能研发并制造世界顶级的科技产品。支持华为，为中国争光，中华有为！ 想起光良的mv了 要不说这是华为的就不会想到，会来事了，华为。 
1,恶搞奥巴马退休生活短片《退休计划》,搞笑,7.3,http://www.vmovier.com/50108?from=index_new_img,2016/9/27,299,最后看到了杰瑞德莱托 卧槽。。。真的是奥巴马出演 我们的领导人是终身制啊，呵呵 营销做的不错 奥巴马推出政坛，可以去影坛秀秀，也可去ttttt 台走一走，要么就学克林顿，给老婆站台 每年都看看布什搞出来的记者会 各国文化思想不同。 真的是奥马巴 handsome 相比之下，我们的领导人，严肃了很多。?? 
2,法国二战题材短片《秋天的记忆》,剧情,7.8,http://www.vmovier.com/49997?from=index_new_img,2016/9/27,140,最后的最后2人幸福的在一起了 战争要想结束就必须有一方伤亡，换位思考，谁想死呢？在人性面前，这个老兵做出最正确的选择。 老兵 最后一幕亮了 为什么我看出了满满的基情急需去污粉哈哈哈哈 这根本都不现实，德法，那么大仇，试想想假如你是个中国军人遇到一个日本伤病，不打死他？ 国家之间的恩怨并不是一两个人就能决定的，人与人之间如果还存有善意，应不应该把它保存下来？ 你忘了军人只听命令吗？当整个世界就剩余你们两个人了，你们还要听吗？不想说什么 我祝福：世界和平 
3,国外创意定格动画《种子那点事儿》,动画,7.8,http://www.vmovier.com/49708?from=index_new_img,2016/9/27,37,
4,众星联唱约翰·列侬名曲《Imagine》,音乐,7.3,http://www.vmovier.com/50107?from=index_new_img,2016/9/27,263,好厉害的形式，整个做下来我都哭了。音乐的力量，明星的力量太大了。 关注 卧槽莫名触电了！！！！！！好棒 伟大的约翰列侬 为和平歌唱，祈祷 平的 自由 世界和平 活在梦里 
5,强开脑洞科幻短片《入侵之日》,科幻,7.7,http://www.vmovier.com/50060?from=index_new_img,2016/9/26,344,vv 那我小时候也发动过世界末日。。 曾经有一个系列的动画，这个转折有点类似，以为是空降兵其实是雪花，以为是打怪兽其实是去蛀牙 空降兵变??这个短片叫《白寡妇行动》，蛀牙变打怪兽的记不起来了?? 超能陆战队里的东西 强开的脑洞 fd 巴黎为什么有f-22~ 玩具嘛，异想天开咯 幕后不能看 这不是脑洞，这是套路。 只要有外星人来了，肯定都是不怀好意的，然后就是不惜一切代价把它打下来 看看三体。 说真的要不是加那层滤镜，特效真的不怎么样尤其那个太空船渲染的实在有些假 评论员都是世外高手啊，不敢苟同。一个一直在做，一个一直在说，区别还是很大的 特效早就秒杀国产了，请你拿出来你不假的作品。 你好~键盘侠 国产科幻片的特效就靠你了！ 好棒 可以，这很独立日 这小孩肯定是看过独立日的，哈哈 
6,迪拜国际电影节获奖短片《72公斤》,剧情,7.4,http://www.vmovier.com/50089?from=index_new_img,2016/9/26,766,4分钟无对话，故事却讲的清楚明白，这就是好的短片。  其实并不需要多好的器材，一部手机一台电脑足矣，也不需要太多的台词，好的故事自己会说话 手机拍的挺有层次啊 晚上还没有燥点 厉害 换个方式乞讨或许会更好，影片中表现得很好 尊重 故事前三分之二 还让人看得一头雾水 好故事 不用多说 就是拍摄比较槽 很好的内容，就是感觉制作还是粗糙了些 没理解其中的寓意。感觉抓心的东西还是少了，画面挺不错，讲述故事方式也值得学习。 看到最后瞬间懂了，尊重他人就是尊重自己 送出有尊严的善意、爱----- 无言的“渔” 小成本影片的一些启发，谢谢分享 启发就是主人公遇到什么事 最后用了什么意想不到的聪明方法解决了问题 你想想看 让人肃然起敬 这给流浪者们又指出了一条赚钱的路子啊 没有台词只是客观呈现反而更好，不然会显得有点作 不错。很有寓意 尽管拍摄手法有些粗糙，但是却不失为一个打动人的片子 授人以渔，赞 瞬间就正能量了 开头的天空有血灰暗，而结尾的天空则分外明朗 细节赞~ 
7,百年灵飞行舰队广告短片《志在蓝天》,广告,7.8,http://www.vmovier.com/49485?from=index_new_img,2016/9/26,181,背景音乐 鲲鹏之志九万里 还是当初看壮志凌云的时候，想当飞行员想疯了 青云之志 飞行表演团队 空军宣传片的直视感 莫名其妙的广告 翼装飞行那个好炫酷 我觉得可以啊，你看央视高铁那个花了多少钱，拍出个什么鬼？ 这辈子开飞机的梦想可能是实现不了了，要不要买块飞行腕表啊？ 
8,内涵丰富优质动画《娼妓与野兽》,动画,8.2,http://www.vmovier.com/50086?from=index_new_img,2016/9/26,255,世界这么大，清纯的看清纯，污的看污； 看得我目瞪口呆 我之前没有看简介的时候，自己的观后感是觉得从小孩子到大人的这个时间，木偶角色不断的重演。女的不断的被侮辱，王子一次次的拯救，怪兽死了却一次次的复活，继续他们的表演。这符合标题《娼妓与野兽》 说的不就是人， 小和大的想法种做法 妖或存有善良，人亦残有恶根， 心智的成熟变了味道，成长就是悲剧了 木偶的笑容是对我们最大的讽刺。 可悲 寓意深刻 唉，可悲 污 
9,越南手机旅拍《我要站在芽庄最高的礁石上朝着大海撒个野》,旅行,7.9,http://www.vmovier.com/50057?from=index_new_img,2016/9/26,157,手机的画质很美啊 节奏很好 曲子是啥 有镜头吗 喜欢这种乱切风格～ 请问你一下，你是用什么方法让视频这么清晰 现在很多手机支持4k拍摄了，不稀奇吧 我的是iPhone6，最高只能1080p，拍不了4k 有惬意，不见野 把胃口掉着掉着 就没了 好棒哦 调色不错，画面毫无美感... V电影的品控大不如前了。 
10,精致走心国产动画《未知星球》,动画,8.3,http://www.vmovier.com/50097?from=index_new_img,2016/9/25,714,
11,大神双板自由式滑雪短片《如翼滑行》,创意,7.8,http://www.vmovier.com/50081?from=index_new_img,2016/9/25,370,我想知道摄像头安在哪里，照镜子的时候也没看出来 屌炸天d(?д??) 上天了上天了?? 屌炸天 无与伦比 威猛 我靠，玩命呢，不要命了。 这才是真正的高手呀！?? 自拍、自娱自乐，同乐 这位大神的双板滑真是自由式的自由式。哈哈哈 这才叫自由，啊哈哈 第一视角看的我有点晕车…… MY GOD 第一视角 虽然是故意设计的障碍 但依然好厉害 
12,感人父女情泰国广告《梦想》,广告,7.3,http://www.vmovier.com/50078?from=index_new_img,2016/9/25,283,表错白，这里应该是V电影我爱你，，，， 好奇心我爱你 我只好奇女主的真实性别 看着像陈意涵 评论都有点误解 他只是想表达 为他人考虑的意愿 关心身边人 自己忙碌为梦想奋斗的时候 往往会忽略身边重要的人 那立意是有的，但表达就不够到位了.... 很喜欢前半段，感谢父母的努力让我们有了为梦想奋斗的机会。 我觉得这广告没啥意义，片中女主角无论怎么选择都没有错，这一切选择都出自自愿的。 有失水准啊 倒是觉得有点中国孝道里的“孝养父母之志”的味道~ 点很奇怪啊~家族企业源于爱……？放弃女儿的梦想的必要性是…？聘请职业经理人不更好？ 
13,"GoPro新品高能混剪	《出逃大自然》",旅行,7.9,http://www.vmovier.com/50099?from=index_new_img,2016/9/25,459,山狗 生活必备啊 精彩！???????????? 不错不错 运动装备大比拼 那个萝莉好好看，好可爱，当然，妹子也不错。。。。 这个广角能接受 好看好看 电子高科技与运动的完美结合 运动、自然的广告告 让人心长草！蠢蠢欲动 求bgm Indian Summer 自然、运动、快乐 求插曲?? 这电音我喜欢 是什么歌 Indian Summer--Jai Wolf 
14,斗志燃烧赛车决胜时刻广告《一秒》,广告,7.3,http://www.vmovier.com/49444?from=index_new_img,2016/9/25,212,配乐有点像星际穿越 输不起的一秒是性命攸关 all for the second 这个视频99秒 我们能做多少事情。 一秒、一秒、一秒、多漫长的人生都由这一秒一秒连接成就 
15,高能视觉系特效短片《机械虫世界》,动画,7.8,http://www.vmovier.com/50051?from=index_new_img,2016/9/19,456,没有人类昆虫会生活得很好，没有了昆虫呢？ 咋不会变形呢？ 以后的森林只有机器么？！ 特效满分 人类智慧 感觉有点冷 厉害 可怕 并不关心未来的机器人会怎样，光这CG做得以假乱真就让人佩服 看得发麻。视频的内容在未来也就是小孩的玩具而已，因为机械生物没有任何可用性 高达的世界，机器人的世界 这大虫子好恶心啊 这技术真赞，只有几分钟却是慢慢的大片直视感 这才是烧钱嘛，看看那个所谓国产5亿特效大片是什么鬼？4.5亿都给了那几个花瓶明星了吧 国产的3d和cg也很厉害。。，不过你说的是那谁拍的片，哈哈，的确是，号称5亿，，结果就那特效，真是可以了。 外国人已经突破了技术上的障碍，剩下就看谁的创意和演技更牛B 未来世界 
16,经典HBO美剧集锦《把电视剧拍成电影》,混剪,7.4,http://www.vmovier.com/50062?from=index_new_img,2016/9/19,255,"最后的一首歌是 i love it hbo HBO出品必属精品 国内外眼界不同啊 术业有专攻 感觉现在的电视剧都在用三毛钱特效在圈钱 但是还是有慢慢的进步 然而有些电影只有电视剧水准.... 部部精品 HBO出品，必属精品 黑道家族 今天看2016艾美，HBO又是大赢家 觉得 寻 这个剧非常可惜被砍 当人家电视剧的制作往电影工业般的水准靠拢时，我们的大部分辣鸡电视剧还没播完电影版就已经上映圈钱了╮(￣⊿￣"")╭ "
17,加拿大奇幻乐园主题广告《童心童趣》,广告,7.5,http://www.vmovier.com/49972?from=index_new_img,2016/9/19,154,看得我想再去一次迪士尼 童话的童心童趣，就是童话话可以任性地童话话 比我们当年参加比赛的飞机稿要好多了，还算可以接受，当然，更好的片子太多 剧情老套，特效负分 游乐园的生意主要是靠孩子赚父母的钱，兼顾了消费群体和使用群体，也能太“高端”，不然会不接地气 还行，凑合 还是那句老话，创造力固然重要，但是拥有实现的能力才是根本，不然一切都只是天方夜谭 上海迪士尼开业都好一阵了，也没见投过什么像样的广告片 和头脑特工队差太远，不过这只是小成本的商业广告片，已经过及格线路 现在能走心得广告不多，要么就是直白的产品叫卖，要么就是蹩脚的创意抄袭 正好国庆要去加拿大，也去安省感受一下 
18,链家感人广告《家的迁徙》,剧情,8.3,http://www.vmovier.com/50059?from=index_new_img,2016/9/19,462,反正我经常看山东卫视红会福娃娃............ 总而言之 都是买房害的 还是不要买房好 哈哈哈哈哈啊哈哈好 看方青卓的眼睛，我就哭了 编剧拙劣 有意煽情 却适得其反 我不懂为什么点赞 是没看过好的？感人不是有意渲染 而是一种实实在在的共鸣 我只能说拍的真不好！剧情拖沓 旁白无力 台词也是苍白 老套 装逼。请问你是哪位大导演 你有鸡眼吧 链家网打了个擦边球，画面不美，故事节奏拖拉。完全没必要旁白，有些多余。 链家，恋家 这就是现实啊！ 故事幽默，情感真挚，方青卓老师的表演很好。 看到了《推手》的影子，情感积累弱了一些，表现力和抒情方面没有很好的权衡。 的确！不过可能由于是广告片，很多感情表现的太出位了 这个感人，但是，想问哈，链家那个人开除没有！ 爱也需要智慧 拍脑袋做决定肯定失败 确实挺感人的，无奈的感觉 这调性客户不会有意见吗？ 有客户版压阵 水准有了，本子细节差些，衔接不自然。广告意识太突出了，没藏好或是根本没想藏，最终效果大打折扣。还有顺道黑了把中银联哦。可以看出导演有些王家卫的意思 你是干什么工作的？好有水准的样子 我是一个喜欢电影的无业装逼犯 有妈就有家 说假你真的...你开心就好 结尾感觉没有收住 题材不错，但拍得有点假，老妈跟小孩一样 老妈真的会像小孩噢 我倒是觉得老妈的表现很贴合实际 
19,声光电完美结合实验短片《光立方》,实验,7,http://www.vmovier.com/50061?from=index_new_img,2016/9/19,448,AMOLED屏幕专用，关灯看，闪瞎眼 梦幻大招，龟派气波(* ￣3)(ε￣ *) 很棒！ 有一束光好像总是歪的好抢戏…… 我一直期待它来个“大招” 然后就没有然后了?? 梦幻光林 绚丽的装逼 商机 刺激的幻象 实与虚 这灯光秀很配合音乐的节奏啊 运行后台的工程师小哥好忙啊 会产生幻觉的 嗯哪，幻觉在眼前 新感觉 夜店范儿 一场华丽的视觉盛宴 视觉冲击波。 视觉冲击力好强 洗刷刷，洗刷刷 看着白光，我不想眨眼 
20,迪士尼重磅动画《海洋奇缘》正式版预告片,预告,7.5,http://www.vmovier.com/50056?from=index_new_img,2016/9/18,654,古猿向两个分支进化，一支进化成你我这样的人类，还有一支进化成了猴子。动画片亦是如此，一支进化成迪斯尼、皮克斯这样的动画，还有一支“进化”成了《水果特攻》《水果总动员》《洗头强光头羊》这样的。。。，之所以后面的“进化”打上引号，是因为拿不定“返祖”这个词是否更恰当。 “返祖”也许是另一种“进化” 一看你就不是行业内的人 你以为我们不想做啊 TM也得有钱做啊 TM也得审核好过啊 你行你上阿 you can you up no can no BB 全是令人抓狂的流体跟毛发 想必又是动画菜鸟一个 只想求背景音乐 还是疯狂原始人好看 美国动画片都很没有灵魂，快餐 哪个有灵魂呢？ 那中国动画片？ 本该就学习的，你这个犀利的点评好像你做动画片很牛逼似的。当你真正能做出动画片，并且还能看的时候就不会说这样的话了 这很随缘 冰雪奇缘，海洋奇缘，再下面是不是就是天空？？ 期待天空。 很期待呢～～?? 这很迪士尼 奇缘奇缘奇缘奇的缘 一饱眼福。 期待！ 看起来还行吧 满满的 疯狂原始人既视感~~ 可理解为迪士尼-戏（海洋）的宣传片吧 迪斯尼出版必是精品 嗷呜！！！！！！喜欢喜欢！！要看 哇哇哇~~必须得去看！ 必须的 
21,酷炫欧洲行摄剪辑《迷失欧洲》,旅行,7.6,http://www.vmovier.com/50015?from=index_new_img,2016/9/18,283,现在大量模仿瞭望塔的剪辑和拍摄手法，看多了让人反胃，既然你是旅行短片，还是应该让观者能感受到旅途风景之美，体会拍摄者赋予作品的情感，现在已经本末倒置，变成了为剪辑而剪辑。。多出了一堆平庸的垃圾而已。 good 喜欢里面的教堂，好美 我只想起瞭望塔 对。。土耳其。。 专场这边谁有教程的 剪的很好，衔接感非常好 转场的那个模糊是怎么做的 欧洲瞭望塔 求转场技巧 果然很迷失 在欧洲当年轻人真好 年轻，在 哪里都好  剪辑挺牛逼的，完全是把费片全变成素材了，可惜素材质量参差不齐，以及结尾快闪跟音乐好不搭干。 美的走丢了 感觉很自在 好随性 眼花缭乱 感觉选材有点随性，不过年轻人的生活气息还蛮明显的 眼花 绝了！ 看完跟没看一样 
